Embryo,Time,allLeft,allRight,brightLeft,brightRight,dv_ap
25,4,0.157630167527133,0.280556404040114,0.139067394125899,0.258872850257311,0
25,7,-0.240743504596573,0.685831652268462,-0.22086777234897,0.759292055431067,0
25,10,-0.13920366604747,0.540332353116068,-0.167745855106958,0.607444376142689,0
25,13,0.0504337991812077,0.339698272677966,0.030947924533602,0.381965212611923,0
25,16,0.0705470352856302,0.322134779979858,0.0654042825167321,0.334810727285519,0
25,19,0.270632338215037,0.333162964628851,0.269733245252401,0.347119354735691,0
25,22,0.272506107025052,0.308771191364321,0.25527231412134,0.317078451715066,0
25,25,0.209582565507694,0.21422345945943,0.205305937354432,0.227530715770953,0
25,28,0.16186258061208,0.177439859666287,0.15862944474816,0.177560159566445,0
25,31,0.195947862506045,0.243584840548358,0.18892621974384,0.222025526257694,0
1,4,0.26353920249807,0.286826170192934,0.268536683970694,0.290903344287624,1
1,7,-0.483426423088839,0.742464580343563,-0.470236340241133,0.800731511608468,1
1,10,-0.404288466659729,0.875956569579243,-0.433324443260268,0.901148388343796,1
1,13,-0.0848825464882347,0.681471260815655,-0.0839800828862266,0.698721229029846,1
1,16,-0.0960338951211987,0.606668319715139,-0.0982412755520396,0.623587824379713,1
1,19,-0.135536107100896,0.33652640126132,-0.132563502628644,0.365819730375428,1
1,22,0.102178449782985,0.431818702598484,0.111546264973179,0.430392104227757,1
1,25,0.138975761113408,0.244936519347869,0.145347569462352,0.232463376087822,1
1,28,0.181420310473709,0.243035063519614,0.189267180322256,0.235070073574165,1
1,31,0.301102576477049,0.237583862979326,0.302185920363469,0.220690284132249,1
